Напольные покрытия Москва, ул. Летниковская, 2с1 Тел.: 8 (800) 700-28-73 e-mail: Info@alpinefloor.ru
Дата изменений | Вкладка | Бренд | Тип изменений
45443 | SPC | Alpine Floor | Акция финиш
45443 | SPC | Alpine Floor | Акция финиш
45443 | SPC | Alpine Floor | Акция финиш
45536 | SPC | Norland | Акция финиш | Завершение акции на коллекцию NeoWood
45536 | SPC | Tulesna | Акция финиш | Завершение акции на коллекцию Verano
45536 | SPC | Tulesna | Акция финиш | Завершение акции на отдельные SKU коллекции Verano
45536 | SPC | Tulesna | Акция финиш | Завершение акции на отдельные SKU коллекции Ottimo
45536 | SPC | Tulesna | Акция финиш | Завершение акции на отдельные SKU коллекции Art Parquet
45536 | SPC | Tulesna | Акция финиш | Завершение акции на отдельные SKU коллекции Premium
45536 | LVT | Alpine Floor | Акция финиш | Завершение акции на отдельные SKU коллекции Easy Line
45536 | LVT | Alpine Floor | Акция финиш | Завершение акции на отдельные SKU коллекции Ultra
45536 | LVT | Alpine Floor | Акция финиш | Завершение акции на отдельные SKU коллекции Parquet LVT
45536 | LVT | Alpine Floor | Акция финиш | Завершение акции на коллекцию Light Stone
45536 | LVT | Norland | Акция финиш | Завершение акции на коллекцию Lagom Parquet LVT
45536 | LVT | Tulesna | Акция финиш | Завершение акции на коллекцию Art Parquet LVT
45536 | Ламинат | Arteo | Акция старт | Акция на Ламинат Arteo
45541 | Ламинат | Alpine Floor | Вывод | Вывод артикулов коллекции Aqua Life: LF103-08 / LF103-03 / LF103-01 / LF103-09
45541 | Ламинат | Alpine Floor | Новинка | Новые артикулы коллекции Aqua Life: LF103-12/LF103-13/LF103-14/LF103-15
45541 | Ламинат | Alpine Floor | Вывод | Вывод артикулов коллекции Aqua Life XL: LF104-10 / LF104-02 / LF104-03 / LF104-07/LF104-1
45541 | Ламинат | Alpine Floor | Новинка | Новые артикулы коллекции Aqua Life XL: LF104-12/LF104-13/LF104-14/LF104-15
45546 | Инженерная доска | Alpine Floor | Акция финиш | Завершение акции на коллекцию STUDIO
45547 | Подложка | Alpine Floor | Уценка | Уценка на подложку Alpine Floor Orange Premium IXPE
45547 | Подложка | Alpine Floor | Уценка | Уценка на подложку Alpine Floor Silver Foil Blue Eva
45553 | Инженерная доска | Alpine Floor | Изменение цен | Изменение цен с 19/09/24 на коллекцию CASTLE
45553 | Инженерная доска | Alpine Floor | Изменение цен | Изменение цен с 19/09/24 на коллекцию CHATEAU
45560 | SPC | Alpine Floor | Новинка | Новая коллекция NUT
45566 | SPC, LVT, ламинат, инж доска | Сохранение цен до 21.10.24
45566 | Ламинат | Classen | Изменение цен | Изменение цен с 01/10/24 на ламинат Classen
45583 | Подложка | Alpine Floor | Новинка | Новинка подложка пробковая Alpine Floor Soft Cork
45586 | Подложка | Alpine Floor | Вывод | Вывод из ассортимента Подложка Alpine Floor Vinyl AntiSlip 1,5мм, уп. 10м2, 1000х500мм в прайс -лист , (снята с производства)
45586 | Вкладки: SPC LVT ЛАМ ИД КП Плин | Alpine Floor | Продление акции до 31.10 | Акции до 21.10 - продлены до 31.10
45595 | SPC | Alpine Floor | Новинка | Новинка SPC коллекция: ECLIPSE SUPER MATT
45595 | SPC | Norland | Новинка | Новинка SPC бренд Norland - коллекция VAKRE + 11 декоров (c 1022-12 по 1022-22)
45596 | SPC | Alpine Floor | Завершение акции | Завершилась акция на коллекции: Classic, Classic Light, Sequoia, Grand Sequoia Light, Solo Plus, ProNature, Sigrid Plus, Vakre, Premium.
45596 | LVT | Alpine Floor | Завершение акции | Завершилась акция на коллекции: Sigrid LVT.
45596 | Ламинат | Alpine Floor | Изменение цен | Завершение акции по ламинату AGT: Natura line, Effect, Effect Premium.
45596 | Ламинат | Alpine Floor | Завершение акции | Завершилась акция на отдельные SKU коллекций ламианат Alpine Floor: Herringbone 8, Herringbone 12 Pro, Herringbone 10
45596 | Ламинат | Homflor | Завершение акции | Завершилась акция на отдельные SKU коллекции ламианат Homflor
45597 | Инженерная доска | Alpine Floor | Изменение цен | Повышение цены на коллекции инженерной доски: Studio, Villa с 01.11.2024
45602 | Клей | Изменение цен | Шпатель
45609 | Вкладки: SPC LVT ЛАМ ИД КП Плин | Alpine Floor, Norland, Tulesna | Продление акции до 30.11 | Срок действия прайс-листа и акций продлен до 30.11.2024 (ранее действовал до 15.11.2024)
45616 | Ламинат | Alpine Floor | Изменение в упаковке (ввод, вывод) | Изменения в упаковке: Вывод и ассортимента в прежней упаковке Herringbone 8; Herringbone 12 Pro; Новая упаковка: Herringbone 8 Pro NEW; Herringbone 12 Pro NEW
45616 | Декоры | Alpine Floor | Изменение в декорах (вывод) | Вывод в старой упаковке: LF102-01 Дуб Лион; LF102-02 Дуб Эльзас; LF102-04 Дуб Тулуза; LF102-07 Дуб Прованс; LF102-08 Дуб Орлеан; LF102-09 Дуб Марсель; LF102-10 Дуб Бордо; LF102-11 Дуб Анжу; LF106-01 Дуб Лион; LF106-02 Дуб Эльзас; LF106-04 Дуб Тулуза; LF106-07 Дуб Прованс; LF106-08 Дуб Орлеан; LF106-09 Дуб Марсель; LF106-10 Дуб Бордо; LF106-11 Дуб Анжу
45616 | Декоры | Alpine Floor | Изменение в декорах (ввод) | Новая упаковка Новинка: LF102-01 Дуб Лион; LF102-02 Дуб Эльзас; LF102-04 Дуб Тулуза; LF102-07 Дуб Прованс; LF102-08 Дуб Орлеан; LF102-09 Дуб Марсель; LF102-10 Дуб Бордо; LF102-11 Дуб Анжу; LF106-01 Дуб Лион; LF106-02 Дуб Эльзас; LF106-04 Дуб Тулуза; LF106-07 Дуб Прованс; LF106-08 Дуб Орлеан; LF106-09 Дуб Марсель; LF106-10 Дуб Бордо; LF106-11 Дуб Анжу
45616 | Декоры | Alpine Floor | Вывод из ассортимента | Новинка, новый цвет: LF102-12 Дуб Артуа; LF102-13 Дуб Берри; LF102-14 Дуб Пикардия; LF106-12 Дуб Артуа ; LF106-13 Дуб Берри; LF106-14 Дуб Пикардия; LF105-12 Орех Трентино; LF105-13 Орех Сицилия; LF105-14 Дуб Абруццо
45616 | Декоры | Alpine Floor | Вывод из ассортимента | Вывод из ассоримента: LF102-03 Дуб Фландрия; LF102-05 Дуб Шампань; LF102-06 Дуб Монпелье; LF105-01 Дуб Апулия; LF105-02 Дуб Сардиния; LF105-04 Дуб Эльба
45623 | Вкладки: SPC LVT ЛАМ ИД КП Плин Подл Клеи | Срок действия прайс-листа и акций, действовавших до 30.11.2024 продлен до 03.12.11.2024
45628 | Декоры | Актуализация информации и статусов на вкладке "Декоры"
45630 | SPC | Alpine Floor | Изменение цен | ПОВЫШЕНИЕ ЦЕНЫ (+10%) на коллекции: Real Wood; Stone Mineral Core; Sequoia; Premium XL; Intense; Grand Sequoia Superior ABA; Chevron Alpine; Parquet Premium; Sigrid Superior ABA; NeoWood; Premium
45630 | LVT | Alpine Floor | Изменение цен | ПОВЫШЕНИЕ ЦЕНЫ (+10%) на коллекции Easy Line; Ultra; Sequoia; Grand Stone; Grand Sequoia LVT; Light Stone; Parquet LVT; Chevron Alpine LVT; Norland; Sigrid LVT; Lagom Parquet LVT; Tulesna; Art Parquet LVT
45630 | Плинтус | Изменение цен | ПОВЫШЕНИЕ ЦЕНЫ на КАМЕННО-ПОЛИМЕРНЫЙ ПЛИНТУС Alpine Floor; ПЛИНТУС ИЗ ВСПЕНЕННОГО ПВХ Alpine Floor by Rico Concept; ПЛИНТУС Parquet Light
45630 | Подложка | Изменение цен | ПОВЫШЕНИЕ ЦЕНЫ на Подложка Alpine Floor Orange Premium IXPE; Подложка Alpine Floor Silver Foil Blue Eva
45630 | Ламинат | Alpine Floor; Homflor; AGT | Изменение цен | ПОВЫШЕНИЕ ЦЕНЫ на коллекции: Alpine Floor Original; Alpine Floor by Camsan; Homflor; AGT
45630 | Инженерная доска | Alpine Floor | Изменение цен | ПОВЫШЕНИЕ ЦЕНЫ на ВСЕ коллекции Инженерной доски
45637 | Клей | Новинка | Новинка в ассортименте Клей -герметик Кesto Ultra Fix 310 мл 
45652 | Вкладки: SPC LVT ЛАМ (кроме by Classen, Arteo) ИД КП Плин Подл Клеи | Срок действия прайс-листа и акций, действовавших до 31.12.2024 БЕЗ ИЗМЕНЕНИЙ (кроме by Classen, Arteo) продлен до 31.01.2025
45652 | ЛАМ | by Classen, Arteo | Изменение цен c 09.01.2025 г | О новых ценах на ЛАМИНАТ by Classen, Arteo - отдельная рассылка 31.12.2024 г. Текущие цены действуют до 08.01.2025
45666 | ЛАМ | by Classen, Arteo | Изменение цен c 09.01.2025 г | ПОВЫШЕНИЕ ЦЕНЫ (+10%) на коллекции ламината: Aqua Life, Aqua Life XL, Ville, Arteo(8M, 8XL, 10XL)
45681 | Все вкладки | Все вкладки | Изменение ценообразования с 01.02.2025 | Срок действия Прайс-листа с 01.02 до 28.02.2025 (+ ЦЕНООБРАЗОВАНИЕ)
45713 | Плинтуса | Монтажная клипса | Изменение цены | Новая цена с 25.02.2025
45716 | Все вкладки | Все вкладки | Изменение ценообразования с 01.02.2025 | Срок действия Прайс-листа продлен до 31.03 (+ ЦЕНООБРАЗОВАНИЕ)
45727 | Ламинат | Norland | Новинка | Ламинат Norland Коллекции ELEGANT  и ELEGANT STRONG . Доступно к заказам с 15.03.2025 (Предзаказ)!!! 
45727 | Ламинат | Декоры | Новинка | Новые декоры. Ламинат Norland Коллекции ELEGANT  и ELEGANT STRONG . Доступно к заказам с 15.03.2025 (Предзаказ)!!! 
45741 | LVT | LVT | Новинка | Коллекция ECO 15 - количество декоров 22 (из них 11 - NEW)
45741 | LVT | LVT | Новинка | Коллекция ECO 16 - количество декоров 22 (из них 11 - NEW)
45741 | LVT | LVT | Новинка | Коллекция ECO11 - количество декоров 22 (из них 11 - NEW)
45741 | Декоры | Коллекция ECO 11, ECO 15, ECO 16 - новые декоры
45741 | SPC (WPC) | Alpine Floor | НОВИНКА! Старт продаж: 14.04.2025 | Презентация коллекции на MOSBILD (Стенд G1039, Зал 7, Пав.2). Доступно к заказам! Обращайтесь к своему менеджеру!
45743 | SPC, LVT | Alpine Floor | Акция! Скидка 15% | Акция: Скидка 15% по промо-коду из рассылки на артикулы: ECO 107-8-R MC; ECO 141-8-R MC; ECO 106-11 MC-R; ECO 141-88 MC-R; ECO 2-1 MC; ECO 2-10 MC; ECO 3-25 PB; ECO 3-37 PB; ECO 4-24 Mineral Core; ECO 4-4 Mineral; Core; ECO 4-28-R Mineral Core; ECO 5-28; ECO 5-33; ECO 5-37; ECO 5-39; ECO 6-13 Mineral Core; ECO 6-8 Mineral Core; ECO 7-19 ABA New; ECO 7-31 ABA New; ECO 9-3; ECO 11-1; ECO 11-29 New; ECO 11-1201-R; ECO 11-901-R; ECO 11-1503 ABA; ECO 11-703 ABA; ECO 11-807-R; ECO 14-201-R; ECO 14-11-R; ECO 14-6-R; ECO 15-3 ECO 15-5; ECO 16-12; ECO 16-13; ECO 16-18; ECO 16-8; ECO 20-11A; ECO 20-11B; 1034-2; 1034-9; 2001-1; 2001-7; 1001-10-R New; 1001-2-R; 1003-10; 1003-12; 1006-9-R; 1008-6 ABA; 1022-2-R; 1022-20-R; 1022-18-R; 1005-1001; 1005-701; 1005-5AB-R; 1005-6AB-R; 1004-301 ABA; 1004-701 ABA; 1004-18-R; 1004-8-R; 1002-19-R; 1002-17-R New Для получения скидки при заказе необходимо указать промо-код! АКЦИЯ ЗАКОНЧИЛАСЬ, НОВЫЕ АРТИКУЛЫ, УЧАСТВУЮЩИЕ В АКЦИИ с 01.05.2025, смотреть на вкладках SPC, LVT, Ламинат
45743 | Все вкладки | Все вкладки | Срок действия прайс-листа | Срок действия Прайс-листа продлен до 30.04.2025
45743 | Плинтус | Изменение цены | Новые цены на Плинтус, Артикулы: RC80001 Белый с тиснением; RC80103 Дуб латте; RC80105 Дуб каньон кремовый; RC80212 Дуб миндальный; RC80207 Дуб имбирь; RC80000 Белый; RC80208 Кедр бурбон; RC80106 Дуб фисташковый; RC80015 Вишня гамильтон; RC80010 Ясень арктик; RC80011 Секвойя кремовая; RC80104 Кипарис альпийский; RC80209 Венге Мали; RC80201 Ясень норд
45761 | WPC | Alpine Floor | НОВИНКА! | Инженерная кварцвиниловая плитка, коллекция PREMIUM 12 (WPC) доступна к заказам!
45763 | Подложка | НОВИНКА! | Alpine Floor Silence 1,5 мм, 10 м2
45777 | Все вкладки | Все вкладки | Срок действия прайс-листа | Срок действия Прайс-листа продлен до 15.05.2025
45777 | SPC, LVT | Alpine Floor | Акция! Скидка 15% | Акция: Скидка 15% по промо-коду из рассылки Для получения скидки при заказе необходимо указать промо-код! Артикулы, участвующие в акции указаны на вкладках по категориям ассортимента: SPC, LVT, Ламинат Для удобства на вкладках указано, на какие артикулы акция закончилась 30.04.2025, и какие новые артикулы участвуют в акции с 01.05.2025 г.
45793 | Все вкладки | Все вкладки | Срок действия прайс-листа | Срок действия Прайс-листа продлен до 20.05.2025
45793 | ЛАМИНАТ | НОВИНКА! | Новинка Ламинат Herringbone Elegant и Herringbone Elegant Strong в продаже с 01.06.2025
45793 | ЛАМИНАТ | НОВИНКА! | Ламинат Снижение цены (информация на вкладке Ламинат) с 16.05.2025
45797 | Все вкладки | SPC, LVT, Ламинат | Изменение цен! | Снижение цены с 21.05.2025 на коллекции напольных покрытий Alpine Floor в категориях : SPC, LVT + Ламинат* Все остальные вкладки без изменений! Цены действуют до 30.06.2025 Коллекции со снижением цены: SPC: Classic Light; Real Wood; Sequoia; Premium XL; Intense; Grand Sequoia; Grand Sequoia Light; Chevron Alpine LVT: Easy Line; Ultra; Sequoia; Light Stone; Lagom Parquet LVT (NORLAND); Art Parquet LVT (TULESNA) *Ламинат (с 16.05.2025): Aqua Life; Aqua Life XL; Ville; Legno Extra; Milango; Premium; Albero; Arteo 8 M WR; Arteo 8 XL WR; Arteo 10 XL WR
