ПРАЙС ОКЛИ с 06.02.2025 OKLI-PARKET@MAIL.RU | ТЕЛ: (812) 232-12-85
Индекс # | Товар | Дилер | РРЦ | Размер | Селекция | Фаска | Покрытие | Браш | Цвет
1-полосная доска
11212 | Oak Vivid Buckingham | 6819 | 10228 | 14(3)x160x1800-2390 | Vivid | 2B | 5-11% lac | Light Brush
15509 | Oak CH Nova Elite Lava Grey | 7600 | 11400 | 13(2,5+0,5)x120x675 | Elite | 4B Nano | UV Oil | Light Brushed
15504 | Oak CH Nova Elite Stavanger | 7600 | 11400 | 13(2,5+0,5)x120x675 | Elite | 4B Nano | 5% lac | Light Brushed
15507 | Oak CH Nova Elite Havana | 7687 | 11530 | 13(2,5+0,5)x120x675 | Elite | 4B Nano | 5% lac | Light Brushed
CHEVRON R+L T&G Oak -1,53 м2/уп Ash -1,15 м2/уп
15015 | Oak Chevron AB Pearl | 9596 | 14394 | 14(3)x120x532 | AB | 4B | 5% lac | Light Brush
25002 | Ash Chevron Elegant Frost Ivory Pores | 9249 | 13873 | 14(3)x100x480 | Elegant | 4B | 5% lac | Light Brush
15012 | Oak Chevron AB Latte | 9683 | 14524 | 14(3)x120x532 | AB | 4B | 5% lac | Light Brush
15007 | Oak Chevron Nordic S Dazy | 9683 | 14524 | 14(3)x120x532 | Nordic S | 4B | 5% lac | Light Brush
15023 | Oak Chevron AB Pure Line | 9770 | 14655 | 14(3)x120x532 | AB | 4B | 5% lac | Light Brush
15285 | Oak Chevron AB Extra Matt | 9457 | 14186 | 14(3)x120x532 | AB | 4B | 5% lac | Light Brush
15301 | Oak Chevron Nordic S Sandstone | 9735 | 14602 | 14(3)x120x532 | Nordic S | 4B | 5% lac | Light Brush
25004 | Ash Chevron Elegant Sandstone | 9249 | 13873 | 14(3)x100x480 | Elegant | 4B | 5% lac | Brushed
15282 | Oak Chevron Nordic S Lava Grey | 9579 | 14368 | 14(3)x120x532 | AB | 4B | 5% lac | Light Brush
15286 | Oak Chevron Nordic S Havana | 9579 | 14368 | 14(3)x120x532 | Nordic S | 4B | 5% lac | Light Brush
15014 | Oak Chevron Nordic S Stavanger | 9509 | 14264 | 14(3)x120x532 | Nordic S | 4B | 5% lac | Light Brush
35002 | Walnut Chevron AB Extra Matt | 15672 | 23508 | 14(3)x120x550 | AB | 4B | 5% lac | Brushed
HERRINGBONE R+L T&G 100х600 - 1,44 м2/уп 100х700 - 1,68 м2/уп
24007 | Ash HB Elegant Nordic Extra Matt | 7687 | 11530 | 14(3)x100x600 | Elegant | 4B | 5% lac | Brushed
24010 | Ash HB Elegant Frost Ivory Pores | 7687 | 11530 | 14(3)x100x600 | Elegant | 4B | 5% lac | Light Brush
14289 | Oak HB AB Latte | 8572 | 12858 | 14(3)x100x600 | AB | 4B | 5% lac | Light Brush
14287 | Oak HB AB Dazy | 8398 | 12598 | 14(3)x100x600 | AB | 4B | 5% lac | Light Brush
14031 | Oak HB AB Pure Line | 8659 | 12988 | 14(3)x100x700 | AB | 4B | 5% lac | Light Brush
14023 | Oak HB Nordic Extra Matt | 8555 | 12832 | 14(3)x100x600 | Nordic | 4B | 5% lac | Light Brush
14025 | Oak HB AB Sandstone | 8572 | 12858 | 14(3)x100x700 | AB | 4B | 5% lac | Brushed
24012 | Ash HB Elegant Sandstone | 7687 | 11530 | 14(3)x100x600 | Elegant | 4B | 5% lac | Brushed
24013 | Ash HB Elegant Chateau Pores | 8398 | 12597 | 14(3)x100x600 | Elegant | 4B | 5% lac | Brushed
14005 | Oak HB BC Lava Grey | 7860 | 11790 | 14(3)x100x600 | BC | 4B | 5% lac | Light Brush
14281 | Oak HB AB Havana | 8659 | 12988 | 14(3)x100x600 | AB | 4B | 5% lac | Light Brush
14028 | Oak HB ABC Stavanger | 8659 | 12988 | 14(3)x100x700 | ABC | 4B | 5% lac | Light Brush
34023 | Walnut HB AB Extra Matt | 13068 | 19602 | 14(3)x120x600 | AB | 4B | 5% lac | Brushed
