АО «Олимп и К»
193230, Санкт-Петербург , пер. Челиева, д.7,тел. 740-71-32
E-mail: office@olimpic.ru, www.olimpic.ru
Прайс-лист
на расходный материал
на аксессуары (цены на 16.05.2025)
Наименование | Розничная цена | Мелкооптовая цена от 50- до 100 шт | Оптовая цена от 100 шт.-и более
Клей для виниловых и ковровых покрытий GOLDBASTIK BF 55 14кг | 5762 | 4932 | 4609
Клей для виниловых и ковровых покрытий GOLDBASTIK BF 55 21кг | 8628 | 7386 | 6902
Клей для модульных покрытий GOLDBASTIK BF 58 13кг | 8617 | 7135 | 6628
Клей для модульных покрытий GOLDBASTIK BF 58 19,5кг | 12906 | 10686 | 9928
Клей многоцелевой для пола и стен GOLDBASTIK BF 60 6,5 кг | 4763 | 3944 | 3664
Клей многоцелевой для пола и стен GOLDBASTIK BF 60 13 кг | 9470 | 7841 | 7285
Клей многоцелевой для пола и стен GOLDBASTIK BF 60 19,5 кг | 14219 | 11773 | 10938
Клей напольный токопроводящий GOLDBASTIK BF 59 12кг | 10002 | 8281 | 7693
Грунтовка токопроводящая GOLDBASTIK BF 66 (10 кг) | 11581 | 9589 | 8908
Грунтовка 1-К полиуретановая «GOLDBASTIK BP 77» (быстросохнущая) 5,5 кг | 9753 | 7805 | 6590
Грунтовка 1-К полиуретановая «GOLDBASTIK BP 77» (быстросохнущая) 11 кг | 19475 | 15584 | 13158
Шовная лента для укладки искусственной травы GOLDBASTIK BG 101 (0,3м*100м) | 9270 | 7682 | 6570
Шпатлевка полимерная эластичная для пола Goldbastik FL 99 13 кг | 6901 | 5601 | 4929
Клей напольный универсальный «NaPol» КНУ, 1,3 кг | 617 | 497 | 441
Клей напольный универсальный «NaPol» КНУ, 3 кг | 1198 | 964 | 855
Клей напольный универсальный «NaPol» КНУ, 7,5 кг | 2914 | 2344 | 2082
Клей напольный универсальный «NaPol» КНУ, 15 кг | 5799 | 4663 | 4142
Клей-фиксатор Bonkeel Prof для напольных покрытий, 1,2 кг | 1255 | 1111 | 1057
Клей-фиксатор Bonkeel Prof для напольных покрытий, 12 кг | 10655 | 9437 | 8979
Клей многоцелевой для пола и стен Bonkeel Prof, 2,5 кг | 2345 | 2077 | 1970
Клей многоцелевой для пола и стен Bonkeel Prof, 6,5 кг | 5490 | 4862 | 4611
Клей многоцелевой для пола и стен Bonkeel Prof, 13 кг | 10220 | 9052 | 8585
Клей универсальный Bonkeel 334, 1 кг | 608 | 543 | 517
Клей универсальный Bonkeel 334, 3,5 кг | 2069 | 1846 | 1756
Клей универсальный Bonkeel 334, 6 кг | 3474 | 3099 | 2949
Клей универсальный Bonkeel 334, 12 кг | 6663 | 5943 | 5655
Клей универсальный Bonkeel 856, 1.3 кг | 572 | 507 | 481
Клей универсальный Bonkeel 856, 4 кг | 1702 | 1508 | 1430
Клей универсальный Bonkeel 856, 7 кг | 2905 | 2573 | 2441
Клей универсальный Bonkeel 856, 14 кг | 5404 | 4787 | 4540
Клей универсальный для ПВХ и текстильных покрытий Bonkeel Prof 14 кг | 6960 | 6164 | 5846
КРАСКА | от 50 шт. | от 100 шт.
Краска для спортивной разметки GOLDBASTIK WD 100 0,6кг (5010, 5012, 2004) | 4801 | 3861 | 3429
Краска для спортивной разметки GOLDBASTIK WD 100 0,6кг (1021, 3000, 6080) | 4689 | 3771 | 3349
Краска для спортивной разметки GOLDBASTIK WD 100 0,6кг (9016) белый | 3978 | 3199 | 2841
Краска для спортивной разметки GOLDBASTIK WD 100 0,6кг (9017) черный | 4373 | 3517 | 3123
СКОТЧИ | от 50 шт. | от 100 шт.
Двухсторонняя клейкая лента 38х5 ПВХ (шт.) | 43 | 39 | 37
Двухсторонняя клейкая лента 48х5 ПВХ (шт.) | 63 | 55 | 51
Двухсторонняя клейкая лента 48х10 ПВХ (шт.) | 120 | 104 | 96
Двухсторонняя клейкая лента 48х25 ПВХ (шт.) | 247 | 219 | 205
ХИМИЯ | от 50 шт. | от 100 шт.
Гель для мытья линолеума и кафеля универсальный 1000мл | 149 | 126 | 114
Химитек антивандал 0,5л | 1409 | 1215 | 1117
Химитек Антивандал-Граффити с триггером 0,5л | 505 | 436 | 401
Химитек антипятнол-пигмент 0,5л (пятновыводное средство), бутылка с триггером | 597 | 515 | 474
Химитек антистикер-аэрозоль баллон 0,4л | 859 | 741 | 682
Химитек интерьер -офис-спрей 0,5л | 384 | 332 | 305
Химитек чароит-спрей 0,5л | 505 | 436 | 401
Химитек керамик-блеск 1л | 449 | 387 | 356
Химитек ПЕНАТЕКС 0,5л | 559 | 483 | 444
Химитек Универсал- ПД с ручкой 1л | 336 | 290 | 267
СВАРОЧНЫЙ ШНУР
Цена за 1п.м | до 100 п.м. | более 100 п.м.
Сварочный шнур Tarkett 4мм | 77 | 66 | 54
Сварочный шнур Tarkett 5мм | 108 | 92 | 77
Цена за 1шт | до 100 шт | более 100 шт
Средство для холодной сварки (тип А) Tarkett | 1097 | 940 | 825
Клей-паста для холодной сварки (тип Т, тип С) Tarkett | 1097 | 940 | 825
МЕДНАЯ ЛЕНТА
Цена за шт. | до 100 шт | более 100 шт
Провод из меди Forbo 20м | 1487 | 1287 | 1137
Лента медная самоклеящаяся «GOLDBASTIK MM 35» 20 м | 1199 | 1037 | 917
Нож
Нож технический 10238 18мм | 114 | 99 | 91
Нож технический 10228 18мм FIT | 107 | 93 | 85
*** - заказ 10,20, 30 кор (1 кор. - 12шт.) - скидка соответсвенно 10%, 20%, 25%
ООО "ОРИОН"
Оптовая цена (Стоп цена)
